period,minutes_remaining,seconds_remaning,action_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_made_flag,game_date,HTM,opponent
90,3,7,34,Pullup Jump shot,Mid-Range,Center(C),16-24 ft.,19,31,189,1,20091120,GSW,POR
91,3,1,37,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,16,-106,124,0,20091120,GSW,POR
92,4,6,16,Floating Jump shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-4,74,0,20091120,GSW,POR
93,1,10,14,Jump Shot,Above the Break 3,Center(C),24+ ft.,24,72,238,0,20091124,DAL,GSW
94,1,4,43,Running Jump Shot,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-73,89,1,20091124,DAL,GSW
95,2,10,2,Driving Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,20091124,DAL,GSW
96,2,7,16,Jump Shot,Mid-Range,Left Side(L),16-24 ft.,16,-142,89,0,20091124,DAL,GSW
97,2,4,28,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,25,196,162,1,20091124,DAL,GSW
98,2,2,29,Jump Shot,Mid-Range,Center(C),16-24 ft.,19,24,192,0,20091124,DAL,GSW
99,2,1,59,Jump Shot,Left Corner 3,Left Side(L),24+ ft.,22,-226,36,0,20091124,DAL,GSW
100,3,2,6,Jump Shot,Mid-Range,Left Side Center(LC),16-24 ft.,17,-138,110,0,20091124,DAL,GSW
101,4,4,1,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,0,20091124,DAL,GSW
102,4,3,51,Jump Shot,Mid-Range,Center(C),16-24 ft.,19,-40,186,1,20091124,DAL,GSW
103,4,2,21,Jump Shot,Above the Break 3,Left Side Center(LC),24+ ft.,24,-182,159,1,20091124,DAL,GSW
104,4,1,8,Running Jump Shot,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,75,56,1,20091124,DAL,GSW
105,1,11,2,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,25,176,178,1,20091125,SAS,GSW
106,1,9,54,Jump Shot,Above the Break 3,Right Side Center(RC),24+ ft.,26,158,213,0,20091125,SAS,GSW
107,1,8,49,Jump Shot,Mid-Range,Left Side(L),8-16 ft.,15,-158,-14,0,20091125,SAS,GSW
108,1,6,18,Step Back Jump shot,Mid-Range,Left Side Center(LC),16-24 ft.,16,-103,132,0,20091125,SAS,GSW
109,2,3,38,Jump Shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,11,0,20091125,SAS,GSW
110,2,2,46,Jump Shot,Left Corner 3,Left Side(L),24+ ft.,22,-221,25,0,20091125,SAS,GSW
111,2,0,35,Step Back Jump shot,Mid-Range,Center(C),16-24 ft.,16,2,162,0,20091125,SAS,GSW
112,3,11,12,Jump Shot,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-64,33,0,20091125,SAS,GSW
113,3,11,9,Layup Shot,Restricted Area,Center(C),Less Than 8 ft.,1,6,14,1,20091125,SAS,GSW
114,3,10,49,Jump Shot,Mid-Range,Left Side(L),8-16 ft.,15,-133,88,0,20091125,SAS,GSW
115,3,8,41,Jump Shot,Mid-Range,Center(C),16-24 ft.,18,-37,183,1,20091125,SAS,GSW
